work_year,experience_level,job_title,company_location,monthly_salary_mad
2025,Intermédiaire,Software Engineer,Royaume-Uni,86370.93750000001
2025,Senior,Technical Support Engineer,États-Unis,82958.33333333334
2025,Senior,ML Scientist,Canada,203247.91666666666
2025,Senior,Cloud Database Engineer,États-Unis,153850.00000000003
2025,Senior,Data Platform Engineer,États-Unis,207395.83333333334
2025,Senior,Software Developer,Canada,153095.83333333334
2025,Senior,Data Management Specialist,États-Unis,110146.04166666667
2025,Intermédiaire,Data Scientist,Allemagne,169687.50000000003
2025,Senior,Data Analyst,Allemagne,169687.50000000003
2025,Senior,Data Engineer,Canada,128283.75000000001
2025,Cadre supérieur,Data Engineer,France,45250.0
2025,Senior,Computational Biologist,États-Unis,72400.00000000001
2025,Senior,Business Intelligence,États-Unis,168254.58333333334
2025,Intermédiaire,Backend Engineer,Canada,98041.66666666667
2025,Intermédiaire,Sales Engineer,États-Unis,120666.66666666667
2025,Intermédiaire,Analytics Engineer,Australie,92990.25833333335
2025,Cadre supérieur,Director of Data,États-Unis,143291.6666666667
2025,Intermédiaire,Data Management Analyst,Canada,53621.25
2025,Intermédiaire,Machine Learning Engineer,Australie,119761.66666666667
2025,Intermédiaire,Associate,Royaume-Uni,43352.51666666667
2025,Intermédiaire,Research Associate,Australie,59665.895833333336
2025,Senior,Analyst,Royaume-Uni,42958.84166666667
2025,Intermédiaire,Solution Engineer,États-Unis,167877.50000000003
2025,Intermédiaire,Data Analytics Manager,États-Unis,113125.0
2025,Intermédiaire,Data Analytics Specialist,États-Unis,87860.41666666667
2025,Intermédiaire,Power BI,France,31754.187500000004
2025,Senior,Solution Architect,Colombie,81455.27916666667
2025,Intermédiaire,Analyst,Australie,83562.42083333334
2025,Intermédiaire,Consultant,Canada,96824.44166666667
2025,Débutant,Apprentice,Canada,21002.033333333336
2025,Débutant,Data Specialist,Royaume-Uni,50284.0625
2025,Senior,Data Lead,Canada,85899.58333333334
2025,Intermédiaire,BI Engineer,Espagne,33976.71666666667
2025,Intermédiaire,Data Scientist,France,42074.20416666667
2025,Intermédiaire,Software Development Engineer,Canada,81450.00000000001
2025,Senior,Machine Learning Engineer,Canada,167274.1666666667
2025,Cadre supérieur,Account Executive,Canada,226250.0
2025,Senior,Analytics Specialist,États-Unis,163805.00000000003
2025,Senior,Principal Statistical Programmer,États-Unis,167651.25000000003
2025,Senior,Data Product Owner,Royaume-Uni,63483.48750000001
2025,Intermédiaire,Data Analyst,Lituanie,42868.34166666667
2025,Senior,Data Architect,Argentine,90789.60000000002
2025,Intermédiaire,Data Operations Specialist,États-Unis,45250.0
2025,Senior,Systems Engineer,Allemagne,149325.00000000003
2025,Intermédiaire,Product Owner,Autriche,42712.98333333334
2025,Senior,Commercial Counsel,États-Unis,241333.33333333334
2025,Intermédiaire,Quantitative Researcher,États-Unis,169687.50000000003
2025,Intermédiaire,Business Intelligence Analyst,Canada,94187.875
2025,Intermédiaire,Data Quality Analyst,États-Unis,104829.16666666667
2025,Senior,Machine Learning Engineer,Inde,200457.5
2025,Intermédiaire,Data Engineer,Espagne,25403.350000000002
2025,Débutant,Solution Engineer,Canada,133940.00000000003
2025,Senior,Data Architect,Australie,107593.1875
